Company Name,Address,Phone,Email,Website,Category,Rating,Reviews Count,Business Hours,Lead Score,Lead Status,Lead Source,Data Completeness
El Momento Steak house Lahore,"Floor, Building 43-L2, Ground, Mini Market, MM Alam Rd, Block L Gulberg 2, Lahore, 54000, Pakistan", 311 1100315,,https://elmomento.pk/el-momento-lahore/,Steak house,4.4,,,78,Hot,Google Maps,85.7%
Butt Shanwari Restaurant,"FCXC+HP6, Airport Rd, Khuda Buksh Colony Lahore, Pakistan", 306 8416993,,https://www.foodpanda.pk/food-ordering?c=pk&s=s&vc=unq2&adj_t=1naixy2v_1nsybtos&adj_campaign=google_reserve_place_order_action_CH-SEO_&adj_deep_link=foodpanda%3A%2F%2F%3Fc%3Dpk%26s%3Ds%26vc%3Dunq2&adj_fallback=https://foodpanda.pk/restaurant/unq2/butt-restaurant-and-shanwari?utm_campaign=google_reserve_place_order_action_CH-SEO_&adj_redirect_macos=https://foodpanda.pk/restaurant/unq2/butt-restaurant-and-shanwari?utm_campaign=google_reserve_place_order_action_CH-SEO_,Restaurant,4.4,,,78,Hot,Google Maps,85.7%
Monal Lahore,+92 42 35789823,0423578982,,https://www.facebook.com/monallahore/menu,Restaurant,4.4,,,78,Hot,Google Maps,85.7%
Salt'n Pepper Village Lahore,"B، 103 MM Alam Rd، Gulberg Block B 2 III, Lahore, 54000, Pakistan", 311 1101047,,https://village.saltnpepper.com.pk/,Family restaurant,4.4,,"
Closed · Opens 12:30 PM
See more hours
",78,Hot,Google Maps,85.7%
Lahore Karahi Family Restaurant,"Tufail Rd Saddar, Cantt, Lahore, 54810, Pakistan", 321 4448227,,http://www.lahorekarahi.com.pk/,Family restaurant,4.4,,,78,Hot,Google Maps,85.7%
Adaab Lahore,"Block D 1, 94-D Main Blvd Gulberg, Block D1 Gulberg III, Lahore, 54000, Pakistan", 328 3480000,,https://www.foodpanda.pk/food-ordering?c=pk&s=s&vc=ouch&adj_t=1naixy2v_1nsybtos&adj_campaign=google_reserve_place_order_action_CH-SEO_&adj_deep_link=foodpanda%3A%2F%2F%3Fc%3Dpk%26s%3Ds%26vc%3Douch&adj_fallback=https://foodpanda.pk/restaurant/ouch/adaab-lahore?utm_campaign=google_reserve_place_order_action_CH-SEO_&adj_redirect_macos=https://foodpanda.pk/restaurant/ouch/adaab-lahore?utm_campaign=google_reserve_place_order_action_CH-SEO_,Restaurant,4.4,,,78,Hot,Google Maps,85.7%
