Company Name,Address,Phone,Email,Website,Category,Rating,Reviews Count,Business Hours,Lead Score,Lead Status,Lead Source,Data Completeness
D Watson Chemist,"Shan Arcade, Civic Centre, 5, G, Barkat Market, Commercial Area Garden Town, Lahore, Pakistan", 306 2384066,,https://clinix.com.pk/,Pharmacy,4.1,,,78,Hot,Google Maps,85.7%
Al-Umar Medical Store,"G83C+GVQ, Jevan Hana Ali Block Garden Town, Lahore, Pakistan",(100) 000-0014,,https://clinix.com.pk/,Pharmacy,4.1,,,78,Hot,Google Maps,85.7%
AL-RASOOL MEDICAL STORE,+92 300 7862682, 300 7862682,,https://clinix.com.pk/,Pharmacy,4.1,,,78,Hot,Google Maps,85.7%
AL-RASOOL MEDICAL STORE,+92 300 7862682, 300 7862682,,https://clinix.com.pk/,Pharmacy,4.1,,,78,Hot,Google Maps,85.7%
AL-RASOOL MEDICAL STORE,+92 300 7862682, 300 7862682,,https://clinix.com.pk/,Pharmacy,4.1,,,78,Hot,Google Maps,85.7%
AL-RASOOL MEDICAL STORE,+92 300 7862682, 300 7862682,,https://clinix.com.pk/,Pharmacy,4.1,,,78,Hot,Google Maps,85.7%
AL-RASOOL MEDICAL STORE,+92 300 7862682, 300 7862682,,https://clinix.com.pk/,Pharmacy,4.1,,,78,Hot,Google Maps,85.7%
AL-RASOOL MEDICAL STORE,+92 300 7862682, 300 7862682,,https://clinix.com.pk/,Pharmacy,4.1,,,78,Hot,Google Maps,85.7%
